Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: – <| Advantage Learning Center |>  -- [ADVANTAGE LEARNING CTR]  {alctutoring.com}    Occurrence: 2

COMPANY: at <| Alcoa Good Times |> we -- [ALCOA GOOD TIMES INC]  {alcoagoodtimes.com}    Occurrence: 2

COMPANY: of <| ALCON Systems , Inc. |> , -- [ALCON SYSTEMS INC]  {alconsys.com}    Occurrence: 1

CITY: in <| Santa Rosa |> having -- [SANTA ROSA]  {alderbrookpet.com}    Occurrence: 1

COMPANY:  <| Alchemist Pool Service |> has -- [ALCHEMIST POOL SVC]  {alchemistpool.com}    Occurrence: 1

ADDRESS: 321 <| Azuar Drive |> , -- [629 AZUAR DR]  {alcometals.com}    Occurrence: 1

CITY:  <| Duarte |> , -- [DUARTE]  {alcotarget.com}    Occurrence: 4

CITY: , <| Walnut Creek |> , -- [WALNUT CREEK]  {alderland.com}    Occurrence: 3

ADDRESS:  <| 1494 Banks Road |> Margate -- [1494 BANKS RD]  {alcapro.com}    Occurrence: 1

COMPANY:  <| Alco Pro |> has -- [ALCO PRO INC]  {alcopro.com}    Occurrence: 1

CITY:  <| Ringwood |> , -- [RINGWOOD]  {aldenskennels.com}    Occurrence: 3

COMPANY: - <| Alden Lane Nursery |>  -- [ALDEN LANE NURSERY]  {aldenlane.com}    Occurrence: 6

CITY: , <| San Clemente |> , -- [SAN CLEMENTE]  {alderetepools.com}    Occurrence: 8

ADDRESS:  <| 364 Nassau Blvd |> . -- [364 NASSAU BLVD]  {alcamo.com}    Occurrence: 4

COMPANY:  <| Alden Suites-A Beachfront Resort |> boasts -- [ALDEN BEACH RESORT]  {aldenbeachresort.com}    Occurrence: 1

STATE: current <| CA |> rebates -- [CA]  {alderetepools.com}    Occurrence: 1

CITY: in <| Los Angeles |> for -- [LOS ANGELES]  {alchemyglass.com}    Occurrence: 1

ADDRESS:  <| 2037 Hermine Ave |> . -- [2037 HERMINE AVE]  {alderland.com}    Occurrence: 4

CONTACT: to <| Lee Thorne |> at -- [LEE THORNE]  {alderbrookpet.com}    Occurrence: 1

ZIP: CA <| 90505 |>  -- [90505 3729]  {albitzmiloe.com}    Occurrence: 8

COMPANY: , <| Albany International |> is -- [ALBANY INTERNATIONAL FABRICS]  {albint.com}    Occurrence: 1

COMPANY: , <| Lutheran Church |> in -- [AMERICAN LUTHERAN CHURCH]  {alc-rantoul.org}    Occurrence: 1

