Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: – <| Alger Park |>  -- [ALGER PARK CHRISTIAN REFORMED]  {algerparkcrc.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY: , <| Alicat |> will -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Writing <| Instruments |>  -- [ALFA INSTRUMENTS]  {alfaline.com} REASON:ONLY_ONE_WORD  Occurrence: 4

ADDRESS: Contact <| Us |> | -- [411 US HIGHWAY 206]  {alfonsos.net} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: The <| Farmers |> Rewards -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Algorithm |> has -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alfa |> Cares -- [ALFA CORP]  {alfacompanies.com} REASON:ONLY_ONE_WORD  Occurrence: 4

COMPANY: the <| Advanced |> Unified -- [ADVANCED LOGIC INDUSTRIES INC]  {ali-inc.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: does <| Alfa |> offer -- [ALFA CORP]  {alfacompanies.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CITY: City <| City |> Council -- [ALEXANDER CITY]  {alexcityoutlook.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: , <| Farmers |> ® -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: the <| Peachtree |> Corners -- [1630 PEACHTREE INDUSTRIAL BLVD]  {algc.net} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: the <| Alexian Brothers |> Senior -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: with <| Alicia Air |> an -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

CONTACT: Chuck <| Felder |> started -- [STEVEN FELDER]  {alexdisplays.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alexian Brothers |> Older -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: for <| Alfred |> Music -- [ALFRED PUBLISHING CO INC]  {alfredpub.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

ADDRESS: ' <| s |> outerwear -- [4884 S 300 W]  {alfwear.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: through <| Farmers |> Financial -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: About <| Alicia Air |>  -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

CONTACT:  <| Greg |> , -- [GREG ALFORD]  {alfordhomes.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alfa |> Insurance -- [ALFA CORP]  {alfacompanies.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: joining <| Algorithm |> , -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY:  <| Insurance |>  -- [ALFA INSURANCE CORP]  {alfains.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 16

ADDRESS: ' <| s |> unique -- [830 S FLAMINGO RD]  {alexfarm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS:  <| Park |> MGM -- [7652 ASHLEY PARK CT]  {alhi.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: The <| Alexian Brothers |> carry -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: chose <| Alicat |> because -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: from <| Alfa |> gives -- [ALFA INSURANCE CORP]  {alfains.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Treated <| Lumber |>  -- [ALEXANDER LUMBER CO]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: your <| Alicat |> is -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: ' <| s |> Emotional -- [4700 S SYRACUSE ST # 1050]  {alice1059.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: , <| Ali Baba |> Pizza -- [ALI BABA RESTAURANT & GAME CTR]  {alibabapizza.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

CONTACT: Water <| Bill |> Payment -- [BILL GANECK]  {algonquin.org} REASON:ONLY_ONE_WORD  Occurrence: 1

CITY: : <| City |> needs -- [ALEXANDER CITY]  {alexcityoutlook.com} REASON:ONLY_ONE_WORD  Occurrence: 1

ADDRESS: ' <| s |> Ministry -- [5917 S THOMPSON AVE]  {alfellowship.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Company |> Name -- [ALEXIS OIL CO]  {alexisoil.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: suggested <| Alfred |> Angelo -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: an <| Alfa |> agent -- [ALFA INSURANCE CORP]  {alfains.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Indoor <| Air |> Quality -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: About <| Algorithm |> 's -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 3

COMPANY:  <| Fire |> Prevention -- [ALGONQUIN FIRE DEPT]  {alfpd.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: of <| Alexza |> Pharmaceuticals -- [ALEXZA MOLECULAR DELIVERY CORP]  {alexza.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alicat |> Regional -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 6

COMPANY:  <| Alexian Brothers |> Parish -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: About <| Alfa |>  -- [ALFA INSURANCE CORP]  {alfains.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 43

COMPANY: your <| Alicat |> products -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: at <| Algorithm |> , -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 6

COMPANY: them <| Alexza |> Pharmaceuticals -- [ALEXZA MOLECULAR DELIVERY CORP]  {alexza.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alice Bell |> Survivors -- [ALICE BELL BAPTIST CHURCH]  {alicebellbaptist.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

ADDRESS: About <| Us |>  -- [411 US HIGHWAY 206]  {alfonsos.net} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: John <| Alexander |>  -- [ALEXANDER LUMBER CO]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Drug <| Clinic |> Pharmacy -- [ALEXANDRIA CLINIC]  {alexclinic.com} REASON:ONLY_ONE_WORD  Occurrence: 2

CONTACT: The <| Figliolia |> Family -- [ALEX FIGLIOLIA]  {alexfigliolia.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: About <| Algorithm |> ' -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 3

COMPANY: | <| Algorithm |>  -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: by <| Algona Marine |> today -- [ALGONA MARINE & SPORT INC]  {algonamarine.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: , <| Alabama |> 36590 -- [AL HILL 'S BOILER SALES]  {alhillboiler.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Home <| Insurance |>  -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

ADDRESS: The <| street |> address -- [125 MASCOMA ST]  {alicepeckday.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Minneapolis <| Clinic |> of -- [ALEXANDRIA CLINIC]  {alexclinic.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| ALFA |> 12 -- [ALFA INTERNATIONAL CORP]  {alfaco.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Alicat |> ' -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CITY:  <| New |> Jersey -- [NEW YORK]  {algren.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: If <| Alfred |> Music -- [ALFRED PUBLISHING CO INC]  {alfredpub.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Alicat |> ’ -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: of <| Alexian Brothers |> , -- [ALEXIAN BROTHERS HEALTH SYSTEM]  {alexianbrothershealth.org} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY: from <| Alfa |> ™ -- [ALFA CORP]  {alfacompanies.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: , <| Alexander |> , -- [ALEXANDER LUMBER CO]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Residential <| Air Conditioning |>  -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 4

ADDRESS: our <| South |> Florida -- [830 S FLAMINGO RD]  {alexfarm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alexza |> is -- [ALEXZA MOLECULAR DELIVERY CORP]  {alexza.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: Albert <| Knabe |> started -- [TOM KNABE]  {algator.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alexza |> Pharmaceuticals -- [ALEXZA MOLECULAR DELIVERY CORP]  {alexza.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 12

COMPANY:  <| Toyota |> Parts -- [ALEXANDRIA TOYOTA]  {alexandriatoyota.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: once <| Alice |> and -- [ALICE 'S KITCHEN]  {aliceskitchen.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: carried <| Alfred |> Angelo -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Machine <| Company |> . -- [ALEXIS OIL CO]  {alexisoil.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: Alfa <| Transformer |> provides -- [ALLEN TRANSFORMER CO]  {alfatransformer.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Seamer <| Oil |> ( -- [ALEXIS OIL CO]  {alexisoil.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: satisfied <| Alfred |> Angelo -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Women <| Apparel |>  -- [ALICE-RAE INTIMATE APPAREL]  {alicerae.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Alextamping |> is -- [ALEXTAMPING RUBBER STAMP ART]  {alextamping.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: o <| Leadership |> Greater -- [AMERICAN LEADERSHIP FORUM-NTNL]  {alfnational.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: The <| Wood |> family -- [TONY L WOOD SR]  {algc.net} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Boutique <| Hotel |>  -- [ALEXIS HOTEL]  {alexishotel.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: Industrial <| Oil |>  -- [ALEXIS OIL CO]  {alexisoil.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Mercury <| Marine |> to -- [ALGONA MARINE & SPORT INC]  {algonamarine.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Contact <| Algorithm |>  -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: s <| Alfa |> ! -- [ALFA INTERNATIONAL CORP]  {alfaco.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alexian |> Dining -- [ALEXIAN BROTHERS REHAB]  {alexianvillage.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS:  <| 1000 |> + -- [1000 CONNECTICUT AVE NW # 603]  {alhi.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: to <| Alicat |> ’ -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: - <| Bryan |> & -- [BRYAN ALEXANDER]  {alexfarm.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: Alfred <| Angelo |>  -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 11

ADDRESS: multi-office <| doctor |> group -- [119 DILLMONT DR # 110]  {algorithminc.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| ALFA |> is -- [ALFA INTERNATIONAL CORP]  {alfaco.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: Site <| Doctor |> service -- [3501 TAYLOR DR]  {alexrthomas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Team <| Alger |>  -- [ALGER MANUFACTURING CO INC]  {alger1.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: Nagle <| Lumber |> in -- [ALEXANDER LUMBER CO]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

CONTACT: and <| Joe |> Hixon -- [JOE STUBLER]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: see <| Alicat |> , -- [ALICAT SCIENTIFIC INC]  {alicatscientific.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Just <| Alice |>  -- [ALICE 'S KITCHEN]  {aliceskitchen.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: of <| Algorithm |> ' -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY:  <| Toyota |> service -- [ALEXANDRIA TOYOTA]  {alexandriatoyota.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CONTACT: , <| Kevin |> designed -- [KEVIN BOYLE]  {alfwear.com} REASON:ONLY_ONE_WORD  Occurrence: 1

ADDRESS: 22nd <| St. |> Decatur -- [909 FRONT ST]  {alexlbr.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: Have <| Ava |> help -- [AVA DERING]  {alfredoswife.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: and <| Bill |> started -- [BILL HALL]  {algonamarine.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: BY <| ALFRED |> ANGELO -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: 19 <| Toyota |> Parts -- [ALEXANDRIA TOYOTA]  {alexandriatoyota.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Church |> Calendar -- [FIRST BAPTIST CHURCH]  {alexfbc.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: | <| Farmers |>  -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Whole <| Bridal |> Party -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Ohio <| Algorithm |> ' -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 3

COMPANY: 2016 <| Alfred |> Angelo -- [ANGELO ALFRED BRIDAL]  {alfredangelostores.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY:  <| Grading Contractors |>  -- [A L GRADING CONTRACTORS]  {algc.net} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 7

COMPANY: recommend <| Toyota |> of -- [ALEXANDRIA TOYOTA]  {alexandriatoyota.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY:  <| Insurance |> coverage -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY:  <| Alabama |> Location -- [AL HILL 'S BOILER SALES]  {alhillboiler.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: Now <| Bill |> is -- [BILL HALL]  {algonamarine.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Alfa <| Transformer |> offers -- [ALLEN TRANSFORMER CO]  {alfatransformer.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: jointing <| Algorithm |> , -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Wilson <| Inn |> and -- [ALEXIS INN & SUITES]  {alexisinn.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Tea |> Services -- [ALICE 'S TEA CUP]  {alicesteacup.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: / <| Air |> Conditioner -- [ALICIA AIR CONDITIONING & HTG]  {aliciaair.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: their <| Farmers |> agent -- [FARMERS INSURANCE GROUP]  {alexsayeri.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: for <| Alice |> Cooperstown -- [ALICE COOPER 'S TOWN]  {alicecooperstown.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: 2016 <| Alexia Admor |> Dresses -- [ALEXIA ADMOR FRENCH DESIGNER]  {alexiaadmor.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 3

COMPANY: for <| Algorithm |> ’ -- [ALGORITHM INC]  {algorithminc.com} REASON:ONLY_ONE_WORD  Occurrence: 1

