Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence

CITY: ' <| s |> Grace -- [SOUTH BURLINGTON]  {alcvt.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Distributes <| Aldec |> FPGA -- [ALDEC INC]  {aldec.com} REASON:ONLY_ONE_WORD  Occurrence: 4

COMPANY: other <| Lutheran |> churches -- [AMERICAN LUTHERAN CHURCH]  {alc-rantoul.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: , <| Inc |> . -- [ALCO PRO INC]  {alcopro.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY:  <| Church |> History -- [ASCENSION LUTHERAN CHURCH]  {alcvt.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

CONTACT: The <| Thomas |> Blog -- [BRIAN THOMAS]  {albinson.com} REASON:ONLY_ONE_WORD  Occurrence: 6

COMPANY: Alabama <| Board |> of -- [MEDICAL EXAMINERS BOARD]  {albme.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 6

COMPANY:  <| Nursery |>  -- [ALDEN LANE NURSERY]  {aldenlane.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: for <| Christ |>  -- [ALCOHOLICS FOR CHRIST]  {alcoholicsforchrist.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

ADDRESS: Current <| Church |> Policies -- [500 CHURCH DR]  {alc-rantoul.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY:  <| Museum |> staff -- [ALBUQUERQUE MUSEUM GIFT SHOP]  {albuquerquemuseum.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: from <| Alden |> . -- [ALDEN SYSTEMS]  {aldensys.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Microchip <| Pet |> Identification -- [ALDERBROOK PET HOSPITAL]  {alderbrookpet.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: the <| Company |> ... -- [ALDEN LEE CO]  {aldenlee.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Alcyone <| Plumbing |> for -- [PAT DOLAN PLUMBING CO INC]  {alcyoneplumbing.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: to <| Alden |> Access -- [ALDEN SYSTEMS]  {aldensys.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: Cheesecake <| Bistro |> , -- [CHEESE CAKE BISTRO]  {alcopeland.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: CONTACT <| ALBUQUERQUE MUSEUM |>  -- [ALBUQUERQUE MUSEUM GIFT SHOP]  {albuquerquemuseum.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: joining <| ALCO |> as -- [ALCO MANAGEMENT INC]  {alcomgt.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

